"id","response","ip_address","response_no","plot_location","start_time","end_time","time_taken","conf_level","choice_reason","sample_size","p_value","pic_id","pic_name","experiment","difficulty","description","age","gender","academic_study","beta","sigma","replica"
1,"FALSE","122.167.224.215",5,8,"2011-12-12 05:07:14","2011-12-12 05:09:17",123,3,"1",100,0.4808,"251","plot_turk3_100_225_5_5.png","turk3","0","Turk3",NA,NA,NA,-2.25,5,5
2,"FALSE","68.32.16.241",15,10,"2011-12-12 05:37:33","2011-12-12 05:38:17",44,3,"3",100,1e-04,"236","plot_turk3_100_75_5_5.png","turk3","3","Turk3",8,2,4,0.75,5,5
2,"FALSE","68.32.16.241",20,8,"2011-12-12 05:36:58","2011-12-12 05:37:30",32,3,"3",100,0.0484,"238","plot_turk3_100_125_5_2.png","turk3","2","Turk3",8,2,4,-1.25,5,2
2,"FALSE","68.32.16.241",17,3,"2011-12-12 05:33:34","2011-12-12 05:35:24",110,3,"3",100,0.0842,"248","plot_turk3_100_225_5_2.png","turk3","0","Turk3",8,2,4,-2.25,5,2
2,"FALSE","68.32.16.241",12,16,"2011-12-12 05:39:06","2011-12-12 05:40:02",56,3,"3",100,2e-04,"225","plot_turk3_100_10_5_4.png","turk3","5","Turk3",8,2,4,0.1,5,4
2,"TRUE","68.32.16.241",8,8,"2011-12-12 05:38:36","2011-12-12 05:38:59",23,3,"3",100,1e-04,"229","plot_turk3_100_40_5_3.png","turk3","4","Turk3",8,2,4,-0.4,5,3
2,"FALSE","68.32.16.241",8,2,"2011-12-12 05:36:37","2011-12-12 05:36:57",20,3,"3",100,0.0487,"241","plot_turk3_100_125_5_5.png","turk3","2","Turk3",8,2,4,-1.25,5,5
2,"FALSE","68.32.16.241",9,18,"2011-12-12 05:40:04","2011-12-12 05:40:18",14,3,"3",100,0.0832,"245","plot_turk3_100_150_5_4.png","turk3","1","Turk3",8,2,4,-1.5,5,4
2,"FALSE","68.32.16.241",10,2,"2011-12-12 05:38:19","2011-12-12 05:38:34",15,3,"3",100,0.1079,"235","plot_turk3_100_75_5_4.png","turk3","3","Turk3",8,2,4,0.75,5,4
2,"TRUE","68.32.16.241",19,19,"2011-12-12 05:40:20","2011-12-12 05:40:48",28,3,"2",100,0.0622,"246","plot_turk3_100_150_5_5.png","turk3","1","Turk3",8,2,4,1.5,5,5
2,"FALSE","68.32.16.241",12,18,"2011-12-12 05:35:58","2011-12-12 05:36:33",35,3,"3",100,0.0805,"247","plot_turk3_100_225_5_1.png","turk3","0","Turk3",8,2,4,-2.25,5,1
3,"FALSE","14.99.239.51",8,17,"2011-12-12 07:47:16","2011-12-12 07:47:53",37,3,"2",100,0.0056,"233","plot_turk3_100_75_5_2.png","turk3","3","Turk3",5,1,5,-0.75,5,2
3,"TRUE","14.99.239.51",2,2,"2011-12-12 07:33:45","2011-12-12 07:34:05",20,4,"2",100,0.0487,"241","plot_turk3_100_125_5_5.png","turk3","2","Turk3",5,1,5,-1.25,5,5
3,"FALSE","14.99.239.51",8,10,"2011-12-12 07:48:01","2011-12-12 07:48:57",56,4,"2",100,3e-04,"227","plot_turk3_100_40_5_1.png","turk3","4","Turk3",5,1,5,0.4,5,1
3,"FALSE","14.99.239.51",17,2,"2011-12-12 07:46:35","2011-12-12 07:47:13",38,2,"2",100,0.1079,"235","plot_turk3_100_75_5_4.png","turk3","3","Turk3",5,1,5,0.75,5,4
3,"FALSE","14.99.239.51",19,18,"2011-12-12 07:49:00","2011-12-12 07:49:47",47,3,"2",100,0,"226","plot_turk3_100_10_5_5.png","turk3","5","Turk3",5,1,5,0.1,5,5
3,"FALSE","14.99.239.51",15,2,"2011-12-12 07:35:44","2011-12-12 07:36:17",33,4,"2",100,0.1079,"235","plot_turk3_100_75_5_4.png","turk3","3","Turk3",5,1,5,0.75,5,4
3,"TRUE","14.99.239.51",18,18,"2011-12-12 07:36:59","2011-12-12 07:37:27",28,2,"2",100,0,"226","plot_turk3_100_10_5_5.png","turk3","5","Turk3",5,1,5,0.1,5,5
3,"FALSE","14.99.239.51",15,8,"2011-12-12 07:31:59","2011-12-12 07:33:37",98,3,"3",100,0.0484,"238","plot_turk3_100_125_5_2.png","turk3","2","Turk3",5,1,5,-1.25,5,2
3,"FALSE","14.99.239.51",3,10,"2011-12-12 07:34:11","2011-12-12 07:35:39",88,3,"1",100,0.003,"232","plot_turk3_100_75_5_1.png","turk3","3","Turk3",5,1,5,0.75,5,1
3,"TRUE","14.99.239.51",1,1,"2011-12-12 07:36:21","2011-12-12 07:36:50",29,2,"2",100,2e-04,"231","plot_turk3_100_40_5_5.png","turk3","4","Turk3",5,1,5,0.4,5,5
3,"FALSE","14.99.239.51",7,13,"2011-12-12 07:37:33","2011-12-12 07:38:05",32,2,"2",100,0.1164,"242","plot_turk3_100_150_5_1.png","turk3","1","Turk3",5,1,5,-1.5,5,1
3,"FALSE","14.99.239.51",17,3,"2011-12-12 07:28:51","2011-12-12 07:30:32",101,4,"2",100,0.0842,"248","plot_turk3_100_225_5_2.png","turk3","0","Turk3",5,1,5,-2.25,5,2
3,"TRUE","14.99.239.51",8,8,"2011-12-12 07:45:11","2011-12-12 07:45:40",29,2,"2",100,0.0381,"239","plot_turk3_100_125_5_3.png","turk3","2","Turk3",5,1,5,1.25,5,3
3,"FALSE","14.99.239.51",18,6,"2011-12-12 07:38:10","2011-12-12 07:38:44",34,2,"2",100,0.0987,"243","plot_turk3_100_150_5_2.png","turk3","1","Turk3",5,1,5,-1.5,5,2
3,"FALSE","14.99.239.51",5,19,"2011-12-12 07:50:02","2011-12-12 07:50:31",29,3,"2",100,0.0622,"246","plot_turk3_100_150_5_5.png","turk3","1","Turk3",5,1,5,1.5,5,5
3,"FALSE","14.99.239.51",5,19,"2011-12-12 07:38:47","2011-12-12 07:39:21",34,2,"2",100,0.0622,"246","plot_turk3_100_150_5_5.png","turk3","1","Turk3",5,1,5,1.5,5,5
3,"FALSE","14.99.239.51",3,8,"2011-12-12 07:43:38","2011-12-12 07:44:57",79,2,"2",100,0.4808,"251","plot_turk3_100_225_5_5.png","turk3","0","Turk3",5,1,5,-2.25,5,5
