"response","time_taken","conf_level","choice_reason","sample_size","p_value","age","academic_study","gender","beta","sigma","id","replica","pic"
"TRUE",107,1,"23",300,6e-04,4,5,"Female",2,5,66,2,"plot_turk1_300_2_5_2.png"
"TRUE",182,2,"2",300,3e-04,4,5,"Female",5,12,66,2,"plot_turk1_300_5_12_2.png"
"FALSE",48,4,"1",100,0.4924,7,5,"Female",0,5,75,2,"plot_turk1_100_0_5_2.png"
"FALSE",46,4,"1",100,0.3209,7,5,"Female",1,5,75,2,"plot_turk1_100_1_5_2.png"
"FALSE",157,2,"1",100,0.0036,7,5,"Female",3,5,75,2,"plot_turk1_100_3_5_2.png"
"FALSE",124,4,"1",100,0.0586,7,5,"Female",3,5,75,3,"plot_turk1_100_3_5_3.png"
"TRUE",44,4,"1",100,2e-04,7,5,"Female",5,5,75,3,"plot_turk1_100_5_5_3.png"
"FALSE",40,4,"1",100,0.8414,7,5,"Female",1,12,75,3,"plot_turk1_100_1_12_3.png"
"FALSE",59,5,"1",100,0.1867,7,5,"Female",3,12,75,2,"plot_turk1_100_3_12_2.png"
"FALSE",41,4,"1",100,0.6744,7,5,"Female",3,12,75,3,"plot_turk1_100_3_12_3.png"
"FALSE",33,3,"1",100,0,7,5,"Female",10,12,75,1,"plot_turk1_100_10_12_1.png"
"TRUE",70,4,"1",100,0.0033,7,5,"Female",10,12,75,3,"plot_turk1_100_10_12_3.png"
"TRUE",43,4,"1",100,0,7,5,"Female",16,12,75,3,"plot_turk1_100_16_12_3.png"
"FALSE",56,5,"1",300,0.4854,7,5,"Female",0,5,75,2,"plot_turk1_300_0_5_2.png"
"FALSE",80,4,"1",300,0.0063,7,5,"Female",1,5,75,1,"plot_turk1_300_1_5_1.png"
"FALSE",46,5,"1",300,0.0063,7,5,"Female",1,5,75,1,"plot_turk1_300_1_5_1.png"
"FALSE",40,4,"1",300,0.0898,7,5,"Female",1,5,75,2,"plot_turk1_300_1_5_2.png"
"TRUE",28,4,"1",300,0,7,5,"Female",3,5,75,1,"plot_turk1_300_3_5_1.png"
"TRUE",29,4,"1",300,0,7,5,"Female",5,12,75,1,"plot_turk1_300_5_12_1.png"
"TRUE",44,4,"1",300,0,7,5,"Female",5,12,75,1,"plot_turk1_300_5_12_1.png"
"TRUE",40,3,"1",300,0,7,5,"Female",10,12,75,1,"plot_turk1_300_10_12_1.png"
"TRUE",26,2,"1",300,0,7,5,"Female",10,12,75,1,"plot_turk1_300_10_12_1.png"
"FALSE",42,4,"1",100,0.6744,7,5,"Female",3,12,120,3,"plot_turk1_100_3_12_3.png"
"FALSE",31,2,"1",100,1e-04,7,5,"Female",10,12,120,2,"plot_turk1_100_10_12_2.png"
"FALSE",49,4,"1",100,0.0033,7,5,"Female",10,12,120,3,"plot_turk1_100_10_12_3.png"
