"y","id","x"
FALSE,1,0.5
TRUE,1,3.31976404784035
TRUE,1,5.19615242270663
FALSE,1,0.416666666666667
FALSE,1,1.15470053837925
FALSE,1,0.5
FALSE,1,2.91666666666667
FALSE,1,2.5
TRUE,1,2.52590742770461
FALSE,1,1.15470053837925
TRUE,1,5.05181485540923
FALSE,1,1.5
TRUE,1,3.5
TRUE,1,5.05181485540923
TRUE,1,5.5
TRUE,1,2.52590742770461
FALSE,2,0.5
FALSE,2,2.5
TRUE,2,2.52590742770461
TRUE,2,3.31976404784035
FALSE,2,1.5
TRUE,2,5.05181485540923
FALSE,2,1.15470053837925
TRUE,2,5.5
TRUE,2,5.05181485540923
FALSE,3,1.5
TRUE,3,1.15470053837925
TRUE,3,3.31976404784035
FALSE,3,0.5
TRUE,3,5.5
TRUE,3,3.5
TRUE,3,5.05181485540923
TRUE,3,2.52590742770461
FALSE,3,2.5
FALSE,5,2.91666666666667
FALSE,5,2.42487113059643
TRUE,5,3.46410161513775
FALSE,5,0.416666666666667
FALSE,5,1.25
TRUE,5,5.19615242270663
TRUE,5,3.75
TRUE,5,5
FALSE,5,1.3856406460551
FALSE,7,1.25
FALSE,7,2.91666666666667
FALSE,7,1.3856406460551
TRUE,7,5.19615242270663
FALSE,7,0.416666666666667
TRUE,7,3.46410161513775
TRUE,7,2.42487113059643
TRUE,7,5.19615242270663
TRUE,7,3.75
FALSE,8,2.91666666666667
TRUE,8,5.05181485540923
FALSE,8,1.25
FALSE,8,3.31976404784035
TRUE,8,5
TRUE,8,5
TRUE,8,3.75
FALSE,8,2.52590742770461
FALSE,8,0
TRUE,8,5.05181485540923
FALSE,8,0.416666666666667
FALSE,8,1.15470053837925
TRUE,8,5.19615242270663
TRUE,8,5.19615242270663
TRUE,8,3.75
TRUE,10,1.5
FALSE,10,2.5
TRUE,10,3.5
TRUE,10,3.75
FALSE,10,2.91666666666667
FALSE,10,1.25
TRUE,10,5.5
TRUE,10,5
TRUE,10,0.5
TRUE,11,3.75
FALSE,11,1.3856406460551
FALSE,11,0.416666666666667
TRUE,11,3.46410161513775
TRUE,11,2.42487113059643
TRUE,11,5.19615242270663
FALSE,11,1.25
FALSE,11,2.91666666666667
TRUE,11,5.19615242270663
TRUE,12,5.19615242270663
FALSE,12,1.25
FALSE,12,3.31976404784035
TRUE,12,2.42487113059643
FALSE,12,1.3856406460551
TRUE,12,3.75
FALSE,12,0.416666666666667
FALSE,12,3.46410161513775
TRUE,12,2.42487113059643
TRUE,12,5.19615242270663
FALSE,12,0.5
FALSE,12,2.91666666666667
FALSE,13,2.91666666666667
FALSE,13,0
FALSE,13,1.25
TRUE,13,5
TRUE,13,5
TRUE,13,5
FALSE,13,0.416666666666667
FALSE,13,2.5
FALSE,13,1.25
TRUE,13,3.75
TRUE,13,5.19615242270663
TRUE,13,5.19615242270663
TRUE,13,3.75
FALSE,13,1.3856406460551
FALSE,13,0.416666666666667
TRUE,13,0.5
TRUE,13,2.52590742770461
FALSE,13,2.5
TRUE,13,3.46410161513775
