"beta","pow","sample_size","sigma","test"
-0.21,0.908977444699631,100,5,"smooth135"
-0.26,0.905875606829493,100,5,"smooth135"
-0.31,0.902909564694555,100,5,"smooth135"
-0.36,0.900075838730357,100,5,"smooth135"
-0.41,0.897368846933018,100,5,"smooth135"
-0.46,0.894727127501248,100,5,"smooth135"
-0.51,0.89215598871175,100,5,"smooth135"
-0.56,0.88969944376713,100,5,"smooth135"
-0.61,0.887401505869994,100,5,"smooth135"
-0.66,0.885306188222951,100,5,"smooth135"
-0.71,0.883457504028608,100,5,"smooth135"
-0.76,0.881905134807886,100,5,"smooth135"
-0.81,0.880844772773611,100,5,"smooth135"
-0.86,0.88027944877097,100,5,"smooth135"
-0.91,0.880105778110276,100,5,"smooth135"
-0.96,0.88022037610184,100,5,"smooth135"
-1.01,0.880519858055976,100,5,"smooth135"
-1.06,0.880900839282997,100,5,"smooth135"
-1.11,0.881259935093214,100,5,"smooth135"
-1.16,0.881493760796942,100,5,"smooth135"
-1.21,0.881498931704492,100,5,"smooth135"
-1.26,0.881173530213845,100,5,"smooth135"
-1.31,0.880522608208233,100,5,"smooth135"
-1.36,0.879689672153535,100,5,"smooth135"
-1.41,0.878821431859554,100,5,"smooth135"
-1.46,0.878064597136095,100,5,"smooth135"
-1.51,0.877558954087633,100,5,"smooth135"
-1.56,0.877187545659527,100,5,"smooth135"
-1.61,0.8768553375187,100,5,"smooth135"
-1.66,0.876562437022378,100,5,"smooth135"
-1.71,0.876308951527794,100,5,"smooth135"
-1.76,0.876094988392176,100,5,"smooth135"
-1.81,0.875920654972755,100,5,"smooth135"
-1.86,0.87578605862676,100,5,"smooth135"
-1.91,0.875691306711421,100,5,"smooth135"
-1.96,0.875636506583967,100,5,"smooth135"
-2.01,0.875621765601628,100,5,"smooth135"
-2.06,0.875647191121634,100,5,"smooth135"
-2.11,0.875712890501215,100,5,"smooth135"
-2.16,0.8758189710976,100,5,"smooth135"
-2.21,0.875965540268019,100,5,"smooth135"
-2.26,NA,100,5,"smooth135"
-2.31,NA,100,5,"smooth135"
-2.36,NA,100,5,"smooth135"
-2.41,NA,100,5,"smooth135"
-2.46,NA,100,5,"smooth135"
0.01,NA,100,5,"smooth136"
0.06,NA,100,5,"smooth136"
0.11,0.896109610906371,100,5,"smooth136"
0.16,0.89413952865401,100,5,"smooth136"
0.21,0.892251834243297,100,5,"smooth136"
0.26,0.890439968372191,100,5,"smooth136"
0.31,0.888697371738649,100,5,"smooth136"
0.36,0.887017485040627,100,5,"smooth136"
0.41,0.885391815134852,100,5,"smooth136"
0.46,0.883761917830338,100,5,"smooth136"
0.51,0.882134705443348,100,5,"smooth136"
0.56,0.880553334803943,100,5,"smooth136"
0.61,0.879060962742186,100,5,"smooth136"
0.66,0.877700746088138,100,5,"smooth136"
0.71,0.876515841671862,100,5,"smooth136"
0.76,0.875550974299862,100,5,"smooth136"
0.81,0.874877832092205,100,5,"smooth136"
0.86,0.87447825953058,100,5,"smooth136"
0.91,0.874298697059072,100,5,"smooth136"
0.96,0.874285585121767,100,5,"smooth136"
1.01,0.874385364162752,100,5,"smooth136"
1.06,0.87454447462611,100,5,"smooth136"
1.11,0.87470935695593,100,5,"smooth136"
1.16,0.874826451596297,100,5,"smooth136"
1.21,0.874842198991296,100,5,"smooth136"
1.26,0.874701182288339,100,5,"smooth136"
1.31,0.87433624584487,100,5,"smooth136"
1.36,0.873841643643854,100,5,"smooth136"
1.41,0.873362544061099,100,5,"smooth136"
1.46,0.873044115472409,100,5,"smooth136"
1.51,0.873024610497903,100,5,"smooth136"
1.56,0.87318599267133,100,5,"smooth136"
1.61,0.873432556688981,100,5,"smooth136"
1.66,0.873763700491759,100,5,"smooth136"
1.71,0.874178822020562,100,5,"smooth136"
1.76,0.87467731921629,100,5,"smooth136"
1.81,0.875258590019842,100,5,"smooth136"
1.86,0.875922032372118,100,5,"smooth136"
1.91,0.876667044214017,100,5,"smooth136"
1.96,0.87749302348644,100,5,"smooth136"
2.01,0.878399368130287,100,5,"smooth136"
2.06,0.879385476086455,100,5,"smooth136"
2.11,0.880450745295847,100,5,"smooth136"
2.16,0.88159457369936,100,5,"smooth136"
2.21,0.882816359237894,100,5,"smooth136"
2.26,NA,100,5,"smooth136"
2.31,NA,100,5,"smooth136"
2.36,NA,100,5,"smooth136"
2.41,NA,100,5,"smooth136"
2.46,NA,100,5,"smooth136"
-0.01,NA,100,5,"smooth136"
-0.06,NA,100,5,"smooth136"
-0.11,0.896109610906371,100,5,"smooth136"
-0.16,0.89413952865401,100,5,"smooth136"
-0.21,0.892251834243297,100,5,"smooth136"
-0.26,0.890439968372191,100,5,"smooth136"
-0.31,0.888697371738649,100,5,"smooth136"
-0.36,0.887017485040627,100,5,"smooth136"
-0.41,0.885391815134852,100,5,"smooth136"
-0.46,0.883761917830338,100,5,"smooth136"
-0.51,0.882134705443348,100,5,"smooth136"
-0.56,0.880553334803943,100,5,"smooth136"
-0.61,0.879060962742186,100,5,"smooth136"
-0.66,0.877700746088138,100,5,"smooth136"
-0.71,0.876515841671862,100,5,"smooth136"
-0.76,0.875550974299862,100,5,"smooth136"
-0.81,0.874877832092205,100,5,"smooth136"
-0.86,0.87447825953058,100,5,"smooth136"
-0.91,0.874298697059072,100,5,"smooth136"
-0.96,0.874285585121767,100,5,"smooth136"
-1.01,0.874385364162752,100,5,"smooth136"
-1.06,0.87454447462611,100,5,"smooth136"
-1.11,0.87470935695593,100,5,"smooth136"
-1.16,0.874826451596297,100,5,"smooth136"
-1.21,0.874842198991296,100,5,"smooth136"
-1.26,0.874701182288339,100,5,"smooth136"
-1.31,0.87433624584487,100,5,"smooth136"
-1.36,0.873841643643854,100,5,"smooth136"
-1.41,0.873362544061099,100,5,"smooth136"
-1.46,0.873044115472409,100,5,"smooth136"
-1.51,0.873024610497903,100,5,"smooth136"
-1.56,0.87318599267133,100,5,"smooth136"
-1.61,0.873432556688981,100,5,"smooth136"
-1.66,0.873763700491759,100,5,"smooth136"
-1.71,0.874178822020562,100,5,"smooth136"
-1.76,0.87467731921629,100,5,"smooth136"
-1.81,0.875258590019842,100,5,"smooth136"
-1.86,0.875922032372118,100,5,"smooth136"
-1.91,0.876667044214017,100,5,"smooth136"
-1.96,0.87749302348644,100,5,"smooth136"
-2.01,0.878399368130287,100,5,"smooth136"
-2.06,0.879385476086455,100,5,"smooth136"
-2.11,0.880450745295847,100,5,"smooth136"
-2.16,0.88159457369936,100,5,"smooth136"
-2.21,0.882816359237894,100,5,"smooth136"
-2.26,NA,100,5,"smooth136"
-2.31,NA,100,5,"smooth136"
-2.36,NA,100,5,"smooth136"
-2.41,NA,100,5,"smooth136"
-2.46,NA,100,5,"smooth136"
0.01,NA,100,5,"smooth137"
0.06,NA,100,5,"smooth137"
0.11,0.89842975840909,100,5,"smooth137"
0.16,0.895192795668012,100,5,"smooth137"
0.21,0.892075462717543,100,5,"smooth137"
0.26,0.889070480921142,100,5,"smooth137"
0.31,0.886170571642267,100,5,"smooth137"
0.36,0.883368456244375,100,5,"smooth137"
0.41,0.880653750943687,100,5,"smooth137"
0.46,0.877934212200536,100,5,"smooth137"
0.51,0.875218036357811,100,5,"smooth137"
0.56,0.872570882094537,100,5,"smooth137"
0.61,0.870058408089739,100,5,"smooth137"
0.66,0.867746273022444,100,5,"smooth137"
0.71,0.865700135571676,100,5,"smooth137"
0.76,0.863984349771639,100,5,"smooth137"
0.81,0.86259650802445,100,5,"smooth137"
0.86,0.861488290755916,100,5,"smooth137"
0.91,0.860621135821133,100,5,"smooth137"
0.96,0.859956481075194,100,5,"smooth137"
1.01,0.859455764373192,100,5,"smooth137"
1.06,0.859080423570221,100,5,"smooth137"
1.11,0.858791896521374,100,5,"smooth137"
1.16,0.858551621081745,100,5,"smooth137"
1.21,0.858321035106427,100,5,"smooth137"
1.26,0.858058463693386,100,5,"smooth137"
1.31,0.857665744798757,100,5,"smooth137"
1.36,0.857215018429203,100,5,"smooth137"
1.41,0.856847393632684,100,5,"smooth137"
1.46,0.85670397945716,100,5,"smooth137"
1.51,0.856919860820937,100,5,"smooth137"
1.56,0.857402519167301,100,5,"smooth137"
1.61,0.858067027533431,100,5,"smooth137"
1.66,0.858909364441512,100,5,"smooth137"
1.71,0.859925508413728,100,5,"smooth137"
1.76,0.861111437972263,100,5,"smooth137"
1.81,0.862463131639302,100,5,"smooth137"
1.86,0.863976567937028,100,5,"smooth137"
1.91,0.865647725387627,100,5,"smooth137"
1.96,0.867472582513282,100,5,"smooth137"
2.01,0.869447117836178,100,5,"smooth137"
2.06,0.8715673098785,100,5,"smooth137"
2.11,0.87382913716243,100,5,"smooth137"
2.16,0.876228578210155,100,5,"smooth137"
2.21,0.878761611543857,100,5,"smooth137"
2.26,NA,100,5,"smooth137"
2.31,NA,100,5,"smooth137"
2.36,NA,100,5,"smooth137"
2.41,NA,100,5,"smooth137"
2.46,NA,100,5,"smooth137"
-0.01,NA,100,5,"smooth137"
-0.06,NA,100,5,"smooth137"
-0.11,0.89842975840909,100,5,"smooth137"
-0.16,0.895192795668012,100,5,"smooth137"
-0.21,0.892075462717543,100,5,"smooth137"
-0.26,0.889070480921142,100,5,"smooth137"
-0.31,0.886170571642267,100,5,"smooth137"
-0.36,0.883368456244375,100,5,"smooth137"
-0.41,0.880653750943687,100,5,"smooth137"
-0.46,0.877934212200536,100,5,"smooth137"
-0.51,0.875218036357811,100,5,"smooth137"
-0.56,0.872570882094537,100,5,"smooth137"
-0.61,0.870058408089739,100,5,"smooth137"
-0.66,0.867746273022444,100,5,"smooth137"
-0.71,0.865700135571676,100,5,"smooth137"
-0.76,0.863984349771639,100,5,"smooth137"
-0.81,0.86259650802445,100,5,"smooth137"
-0.86,0.861488290755916,100,5,"smooth137"
-0.91,0.860621135821133,100,5,"smooth137"
-0.96,0.859956481075194,100,5,"smooth137"
-1.01,0.859455764373192,100,5,"smooth137"
-1.06,0.859080423570221,100,5,"smooth137"
-1.11,0.858791896521374,100,5,"smooth137"
-1.16,0.858551621081745,100,5,"smooth137"
-1.21,0.858321035106427,100,5,"smooth137"
-1.26,0.858058463693386,100,5,"smooth137"
-1.31,0.857665744798757,100,5,"smooth137"
-1.36,0.857215018429203,100,5,"smooth137"
-1.41,0.856847393632684,100,5,"smooth137"
-1.46,0.85670397945716,100,5,"smooth137"
-1.51,0.856919860820937,100,5,"smooth137"
-1.56,0.857402519167301,100,5,"smooth137"
-1.61,0.858067027533431,100,5,"smooth137"
-1.66,0.858909364441512,100,5,"smooth137"
-1.71,0.859925508413728,100,5,"smooth137"
-1.76,0.861111437972263,100,5,"smooth137"
-1.81,0.862463131639302,100,5,"smooth137"
-1.86,0.863976567937028,100,5,"smooth137"
-1.91,0.865647725387627,100,5,"smooth137"
-1.96,0.867472582513282,100,5,"smooth137"
-2.01,0.869447117836178,100,5,"smooth137"
-2.06,0.8715673098785,100,5,"smooth137"
-2.11,0.87382913716243,100,5,"smooth137"
-2.16,0.876228578210155,100,5,"smooth137"
-2.21,0.878761611543857,100,5,"smooth137"
-2.26,NA,100,5,"smooth137"
-2.31,NA,100,5,"smooth137"
-2.36,NA,100,5,"smooth137"
-2.41,NA,100,5,"smooth137"
-2.46,NA,100,5,"smooth137"
0.01,NA,100,5,"smooth138"
0.06,NA,100,5,"smooth138"
0.11,0.897937707448412,100,5,"smooth138"
0.16,0.895381340901713,100,5,"smooth138"
0.21,0.892912704773145,100,5,"smooth138"
0.26,0.890525095087304,100,5,"smooth138"
0.31,0.888211807868782,100,5,"smooth138"
0.36,0.885966139142173,100,5,"smooth138"
0.41,0.883778820712416,100,5,"smooth138"
0.46,0.881573309041699,100,5,"smooth138"
0.51,0.879356885916373,100,5,"smooth138"
0.56,0.87718442938664,100,5,"smooth138"
0.61,0.875110817502699,100,5,"smooth138"
0.66,0.87319092831475,100,5,"smooth138"
0.71,0.871479639872994,100,5,"smooth138"
0.76,0.870030740841252,100,5,"smooth138"
0.81,0.868842284899784,100,5,"smooth138"
0.86,0.867874019944288,100,5,"smooth138"
0.91,0.867093846443862,100,5,"smooth138"
0.96,0.866469664867602,100,5,"smooth138"
1.01,0.865969375684606,100,5,"smooth138"
1.06,0.86556087936397,100,5,"smooth138"
1.11,0.865212076374793,100,5,"smooth138"
1.16,0.86489086718617,100,5,"smooth138"
1.21,0.8645651522672,100,5,"smooth138"
1.26,0.864199925605876,100,5,"smooth138"
1.31,0.863705334479873,100,5,"smooth138"
1.36,0.863144818210035,100,5,"smooth138"
1.41,0.862645280119223,100,5,"smooth138"
1.46,0.862333623530297,100,5,"smooth138"
1.51,0.86233120588479,100,5,"smooth138"
1.56,0.862550718118306,100,5,"smooth138"
1.61,0.862914202434058,100,5,"smooth138"
1.66,0.86341856922385,100,5,"smooth138"
1.71,0.864060728879483,100,5,"smooth138"
1.76,0.864837591792763,100,5,"smooth138"
1.81,0.865746068355493,100,5,"smooth138"
1.86,0.866783068959476,100,5,"smooth138"
1.91,0.867945503996516,100,5,"smooth138"
1.96,0.869230283858416,100,5,"smooth138"
2.01,0.87063431893698,100,5,"smooth138"
2.06,0.872154519624012,100,5,"smooth138"
2.11,0.873787796311314,100,5,"smooth138"
2.16,0.87553105939069,100,5,"smooth138"
2.21,0.877381219253945,100,5,"smooth138"
2.26,NA,100,5,"smooth138"
2.31,NA,100,5,"smooth138"
2.36,NA,100,5,"smooth138"
2.41,NA,100,5,"smooth138"
2.46,NA,100,5,"smooth138"
-0.01,NA,100,5,"smooth138"
-0.06,NA,100,5,"smooth138"
-0.11,0.897937707448412,100,5,"smooth138"
-0.16,0.895381340901713,100,5,"smooth138"
-0.21,0.892912704773145,100,5,"smooth138"
-0.26,0.890525095087304,100,5,"smooth138"
-0.31,0.888211807868782,100,5,"smooth138"
-0.36,0.885966139142173,100,5,"smooth138"
-0.41,0.883778820712416,100,5,"smooth138"
-0.46,0.881573309041699,100,5,"smooth138"
-0.51,0.879356885916373,100,5,"smooth138"
-0.56,0.87718442938664,100,5,"smooth138"
-0.61,0.875110817502699,100,5,"smooth138"
-0.66,0.87319092831475,100,5,"smooth138"
-0.71,0.871479639872994,100,5,"smooth138"
-0.76,0.870030740841252,100,5,"smooth138"
-0.81,0.868842284899784,100,5,"smooth138"
-0.86,0.867874019944288,100,5,"smooth138"
-0.91,0.867093846443862,100,5,"smooth138"
-0.96,0.866469664867602,100,5,"smooth138"
-1.01,0.865969375684606,100,5,"smooth138"
-1.06,0.86556087936397,100,5,"smooth138"
-1.11,0.865212076374793,100,5,"smooth138"
-1.16,0.86489086718617,100,5,"smooth138"
-1.21,0.8645651522672,100,5,"smooth138"
-1.26,0.864199925605876,100,5,"smooth138"
-1.31,0.863705334479873,100,5,"smooth138"
-1.36,0.863144818210035,100,5,"smooth138"
-1.41,0.862645280119223,100,5,"smooth138"
-1.46,0.862333623530297,100,5,"smooth138"
-1.51,0.86233120588479,100,5,"smooth138"
-1.56,0.862550718118306,100,5,"smooth138"
-1.61,0.862914202434058,100,5,"smooth138"
-1.66,0.86341856922385,100,5,"smooth138"
-1.71,0.864060728879483,100,5,"smooth138"
-1.76,0.864837591792763,100,5,"smooth138"
-1.81,0.865746068355493,100,5,"smooth138"
-1.86,0.866783068959476,100,5,"smooth138"
-1.91,0.867945503996516,100,5,"smooth138"
-1.96,0.869230283858416,100,5,"smooth138"
-2.01,0.87063431893698,100,5,"smooth138"
-2.06,0.872154519624012,100,5,"smooth138"
-2.11,0.873787796311314,100,5,"smooth138"
-2.16,0.87553105939069,100,5,"smooth138"
-2.21,0.877381219253945,100,5,"smooth138"
-2.26,NA,100,5,"smooth138"
-2.31,NA,100,5,"smooth138"
-2.36,NA,100,5,"smooth138"
-2.41,NA,100,5,"smooth138"
-2.46,NA,100,5,"smooth138"
0.01,NA,100,5,"smooth139"
0.06,NA,100,5,"smooth139"
0.11,0.890349339879722,100,5,"smooth139"
0.16,0.88773840615899,100,5,"smooth139"
0.21,0.885259719511804,100,5,"smooth139"
0.26,0.882905523152143,100,5,"smooth139"
0.31,0.880668060293983,100,5,"smooth139"
0.36,0.878539574151302,100,5,"smooth139"
0.41,0.876510206342347,100,5,"smooth139"
0.46,0.874516094638437,100,5,"smooth139"
0.51,0.872565165805073,100,5,"smooth139"
0.56,0.87070485979113,100,5,"smooth139"
0.61,0.868982616545486,100,5,"smooth139"
0.66,0.867445876017017,100,5,"smooth139"
0.71,0.8661420781546,100,5,"smooth139"
0.76,0.865119959781395,100,5,"smooth139"
0.81,0.864445480949569,100,5,"smooth139"
0.86,0.864096468145232,100,5,"smooth139"
0.91,0.864019208200105,100,5,"smooth139"
0.96,0.864159987945908,100,5,"smooth139"
1.01,0.864465094214362,100,5,"smooth139"
1.06,0.864880813837186,100,5,"smooth139"
1.11,0.865353433646102,100,5,"smooth139"
1.16,0.865829240472828,100,5,"smooth139"
1.21,0.866254521149087,100,5,"smooth139"
1.26,0.866573065130655,100,5,"smooth139"
1.31,0.866700695700364,100,5,"smooth139"
1.36,0.866737110587808,100,5,"smooth139"
1.41,0.866845054363086,100,5,"smooth139"
1.46,0.867187271596298,100,5,"smooth139"
1.51,0.867918718574084,100,5,"smooth139"
1.56,0.868905912832318,100,5,"smooth139"
1.61,0.87004102437436,100,5,"smooth139"
1.66,0.87132340743666,100,5,"smooth139"
1.71,0.872752416255673,100,5,"smooth139"
1.76,0.874327405067848,100,5,"smooth139"
1.81,0.876047728109637,100,5,"smooth139"
1.86,0.877912739617492,100,5,"smooth139"
1.91,0.879921793827864,100,5,"smooth139"
1.96,0.882074244977206,100,5,"smooth139"
2.01,0.884369447301968,100,5,"smooth139"
2.06,0.886806755038602,100,5,"smooth139"
2.11,0.88938552242356,100,5,"smooth139"
2.16,0.892105103693292,100,5,"smooth139"
2.21,0.894964853084251,100,5,"smooth139"
2.26,NA,100,5,"smooth139"
2.31,NA,100,5,"smooth139"
2.36,NA,100,5,"smooth139"
2.41,NA,100,5,"smooth139"
2.46,NA,100,5,"smooth139"
-0.01,NA,100,5,"smooth139"
-0.06,NA,100,5,"smooth139"
-0.11,0.890349339879722,100,5,"smooth139"
-0.16,0.88773840615899,100,5,"smooth139"
-0.21,0.885259719511804,100,5,"smooth139"
-0.26,0.882905523152143,100,5,"smooth139"
-0.31,0.880668060293983,100,5,"smooth139"
-0.36,0.878539574151302,100,5,"smooth139"
-0.41,0.876510206342347,100,5,"smooth139"
-0.46,0.874516094638437,100,5,"smooth139"
-0.51,0.872565165805073,100,5,"smooth139"
-0.56,0.87070485979113,100,5,"smooth139"
-0.61,0.868982616545486,100,5,"smooth139"
-0.66,0.867445876017017,100,5,"smooth139"
-0.71,0.8661420781546,100,5,"smooth139"
-0.76,0.865119959781395,100,5,"smooth139"
-0.81,0.864445480949569,100,5,"smooth139"
-0.86,0.864096468145232,100,5,"smooth139"
-0.91,0.864019208200105,100,5,"smooth139"
-0.96,0.864159987945908,100,5,"smooth139"
-1.01,0.864465094214362,100,5,"smooth139"
-1.06,0.864880813837186,100,5,"smooth139"
-1.11,0.865353433646102,100,5,"smooth139"
-1.16,0.865829240472828,100,5,"smooth139"
-1.21,0.866254521149087,100,5,"smooth139"
-1.26,0.866573065130655,100,5,"smooth139"
-1.31,0.866700695700364,100,5,"smooth139"
-1.36,0.866737110587808,100,5,"smooth139"
-1.41,0.866845054363086,100,5,"smooth139"
-1.46,0.867187271596298,100,5,"smooth139"
-1.51,0.867918718574084,100,5,"smooth139"
-1.56,0.868905912832318,100,5,"smooth139"
-1.61,0.87004102437436,100,5,"smooth139"
-1.66,0.87132340743666,100,5,"smooth139"
-1.71,0.872752416255673,100,5,"smooth139"
-1.76,0.874327405067848,100,5,"smooth139"
-1.81,0.876047728109637,100,5,"smooth139"
-1.86,0.877912739617492,100,5,"smooth139"
-1.91,0.879921793827864,100,5,"smooth139"
-1.96,0.882074244977206,100,5,"smooth139"
-2.01,0.884369447301968,100,5,"smooth139"
-2.06,0.886806755038602,100,5,"smooth139"
-2.11,0.88938552242356,100,5,"smooth139"
-2.16,0.892105103693292,100,5,"smooth139"
-2.21,0.894964853084251,100,5,"smooth139"
-2.26,NA,100,5,"smooth139"
-2.31,NA,100,5,"smooth139"
-2.36,NA,100,5,"smooth139"
-2.41,NA,100,5,"smooth139"
-2.46,NA,100,5,"smooth139"
0.01,NA,100,5,"smooth140"
0.06,NA,100,5,"smooth140"
0.11,0.906704532743547,100,5,"smooth140"
0.16,0.903883621729395,100,5,"smooth140"
0.21,0.901135287069321,100,5,"smooth140"
0.26,0.898446460275232,100,5,"smooth140"
0.31,0.89580407285903,100,5,"smooth140"
0.36,0.89319505633262,100,5,"smooth140"
0.41,0.890604581185077,100,5,"smooth140"
0.46,0.887975322338726,100,5,"smooth140"
0.51,0.885317614383476,100,5,"smooth140"
0.56,0.88267612701404,100,5,"smooth140"
0.61,0.880095529925133,100,5,"smooth140"
0.66,0.87762049281147,100,5,"smooth140"
0.71,0.875295685367765,100,5,"smooth140"
0.76,0.873157557982358,100,5,"smooth140"
0.81,0.87098374125292,100,5,"smooth140"
0.86,0.868703021910765,100,5,"smooth140"
0.91,0.86637756137294,100,5,"smooth140"
0.96,0.864069521056488,100,5,"smooth140"
1.01,0.861841062378454,100,5,"smooth140"
1.06,0.859754346755885,100,5,"smooth140"
1.11,0.857871535605823,100,5,"smooth140"
1.16,0.856254790345314,100,5,"smooth140"
1.21,0.854966272391403,100,5,"smooth140"
1.26,0.854058821356664,100,5,"smooth140"
1.31,0.85330375893178,100,5,"smooth140"
1.36,0.852676555885504,100,5,"smooth140"
1.41,0.852309289556424,100,5,"smooth140"
1.46,0.852334037283122,100,5,"smooth140"
1.51,0.852876626343454,100,5,"smooth140"
1.56,0.853830459568138,100,5,"smooth140"
1.61,0.855106929560018,100,5,"smooth140"
1.66,0.856703019891935,100,5,"smooth140"
1.71,0.85861571413673,100,5,"smooth140"
1.76,0.860841995867243,100,5,"smooth140"
1.81,0.863378848656316,100,5,"smooth140"
1.86,0.866223256076788,100,5,"smooth140"
1.91,0.869372201701501,100,5,"smooth140"
1.96,0.872822669103297,100,5,"smooth140"
2.01,0.876571641855014,100,5,"smooth140"
2.06,0.880616103529495,100,5,"smooth140"
2.11,0.88495303769958,100,5,"smooth140"
2.16,0.88957942793811,100,5,"smooth140"
2.21,0.894492257817927,100,5,"smooth140"
2.26,NA,100,5,"smooth140"
2.31,NA,100,5,"smooth140"
2.36,NA,100,5,"smooth140"
2.41,NA,100,5,"smooth140"
2.46,NA,100,5,"smooth140"
-0.01,NA,100,5,"smooth140"
-0.06,NA,100,5,"smooth140"
-0.11,0.906704532743547,100,5,"smooth140"
-0.16,0.903883621729395,100,5,"smooth140"
-0.21,0.901135287069321,100,5,"smooth140"
-0.26,0.898446460275232,100,5,"smooth140"
-0.31,0.89580407285903,100,5,"smooth140"
-0.36,0.89319505633262,100,5,"smooth140"
-0.41,0.890604581185077,100,5,"smooth140"
-0.46,0.887975322338726,100,5,"smooth140"
-0.51,0.885317614383476,100,5,"smooth140"
-0.56,0.88267612701404,100,5,"smooth140"
-0.61,0.880095529925133,100,5,"smooth140"
-0.66,0.87762049281147,100,5,"smooth140"
-0.71,0.875295685367765,100,5,"smooth140"
-0.76,0.873157557982358,100,5,"smooth140"
-0.81,0.87098374125292,100,5,"smooth140"
-0.86,0.868703021910765,100,5,"smooth140"
-0.91,0.86637756137294,100,5,"smooth140"
-0.96,0.864069521056488,100,5,"smooth140"
-1.01,0.861841062378454,100,5,"smooth140"
-1.06,0.859754346755885,100,5,"smooth140"
-1.11,0.857871535605823,100,5,"smooth140"
-1.16,0.856254790345314,100,5,"smooth140"
-1.21,0.854966272391403,100,5,"smooth140"
-1.26,0.854058821356664,100,5,"smooth140"
-1.31,0.85330375893178,100,5,"smooth140"
-1.36,0.852676555885504,100,5,"smooth140"
-1.41,0.852309289556424,100,5,"smooth140"
-1.46,0.852334037283122,100,5,"smooth140"
-1.51,0.852876626343454,100,5,"smooth140"
-1.56,0.853830459568138,100,5,"smooth140"
-1.61,0.855106929560018,100,5,"smooth140"
-1.66,0.856703019891935,100,5,"smooth140"
-1.71,0.85861571413673,100,5,"smooth140"
-1.76,0.860841995867243,100,5,"smooth140"
-1.81,0.863378848656316,100,5,"smooth140"
-1.86,0.866223256076788,100,5,"smooth140"
-1.91,0.869372201701501,100,5,"smooth140"
-1.96,0.872822669103297,100,5,"smooth140"
-2.01,0.876571641855014,100,5,"smooth140"
-2.06,0.880616103529495,100,5,"smooth140"
-2.11,0.88495303769958,100,5,"smooth140"
-2.16,0.88957942793811,100,5,"smooth140"
-2.21,0.894492257817927,100,5,"smooth140"
-2.26,NA,100,5,"smooth140"
-2.31,NA,100,5,"smooth140"
-2.36,NA,100,5,"smooth140"
-2.41,NA,100,5,"smooth140"
-2.46,NA,100,5,"smooth140"
0.01,NA,100,5,"smooth141"
0.06,NA,100,5,"smooth141"
0.11,0.916713525957591,100,5,"smooth141"
0.16,0.913055526301954,100,5,"smooth141"
0.21,0.909557468126071,100,5,"smooth141"
0.26,0.906214656448963,100,5,"smooth141"
0.31,0.903022396289653,100,5,"smooth141"
0.36,0.899975992667158,100,5,"smooth141"
0.41,0.89706925717575,100,5,"smooth141"
0.46,0.894257290542598,100,5,"smooth141"
0.51,0.891545296022457,100,5,"smooth141"
0.56,0.888966406654978,100,5,"smooth141"
0.61,0.886553755479813,100,5,"smooth141"
0.66,0.884340475536611,100,5,"smooth141"
0.71,0.882359699865024,100,5,"smooth141"
0.76,0.880646873800606,100,5,"smooth141"
0.81,0.879290457088686,100,5,"smooth141"
0.86,0.87828249078311,100,5,"smooth141"
0.91,0.877568695176946,100,5,"smooth141"
0.96,0.877094790563262,100,5,"smooth141"
1.01,0.876806497235124,100,5,"smooth141"
1.06,0.8766495354856,100,5,"smooth141"
1.11,0.876569625607757,100,5,"smooth141"
1.16,0.876512487894663,100,5,"smooth141"
1.21,0.876423842639385,100,5,"smooth141"
1.26,0.876248637322955,100,5,"smooth141"
1.31,0.875948624909724,100,5,"smooth141"
1.36,0.875611764943898,100,5,"smooth141"
1.41,0.875356842170454,100,5,"smooth141"
1.46,0.87530264133437,100,5,"smooth141"
1.51,0.875562234127635,100,5,"smooth141"
1.56,0.87603735837788,100,5,"smooth141"
1.61,0.876649246465256,100,5,"smooth141"
1.66,0.877397865764946,100,5,"smooth141"
1.71,0.87828318365213,100,5,"smooth141"
1.76,0.879305167501991,100,5,"smooth141"
1.81,0.880463784689709,100,5,"smooth141"
1.86,0.881759002590465,100,5,"smooth141"
1.91,0.88319078857944,100,5,"smooth141"
1.96,0.884759110031817,100,5,"smooth141"
2.01,0.886463934322775,100,5,"smooth141"
2.06,0.888305228827496,100,5,"smooth141"
2.11,0.890282960921162,100,5,"smooth141"
2.16,0.892397097978952,100,5,"smooth141"
2.21,0.89464760737605,100,5,"smooth141"
2.26,NA,100,5,"smooth141"
2.31,NA,100,5,"smooth141"
2.36,NA,100,5,"smooth141"
2.41,NA,100,5,"smooth141"
2.46,NA,100,5,"smooth141"
-0.01,NA,100,5,"smooth141"
-0.06,NA,100,5,"smooth141"
-0.11,0.916713525957591,100,5,"smooth141"
-0.16,0.913055526301954,100,5,"smooth141"
-0.21,0.909557468126071,100,5,"smooth141"
-0.26,0.906214656448963,100,5,"smooth141"
-0.31,0.903022396289653,100,5,"smooth141"
-0.36,0.899975992667158,100,5,"smooth141"
-0.41,0.89706925717575,100,5,"smooth141"
-0.46,0.894257290542598,100,5,"smooth141"
-0.51,0.891545296022457,100,5,"smooth141"
-0.56,0.888966406654978,100,5,"smooth141"
-0.61,0.886553755479813,100,5,"smooth141"
-0.66,0.884340475536611,100,5,"smooth141"
-0.71,0.882359699865024,100,5,"smooth141"
-0.76,0.880646873800606,100,5,"smooth141"
